
0	-0.001604	0.0003257	100.6	250.8	0.1106
0.1	0.01066	-0.002838	100.9	249.6	1.294
0.2	0.008305	-0.002838	95.53	250.4	16.12
0.3	0.02624	0.009818	91.64	250.6	21.92
0.4	0.04228	-0.009167	89.74	249.8	28.95
0.5	0.03426	0.0003257	86.96	250.2	35.66
0.6	0.05691	-0.006003	85.17	250.2	36.61
0.7	0.05549	-0.002838	84.9	249.8	40.88
0.8	0.04794	0.00349	83.64	250.8	40.74
0.9	0.06493	0.0003257	84.06	249.3	38.43
1	0.05125	0.006654	84.27	250	39.98
1.1	0.0503	0.006654	85.22	250.2	30.56
1.2	0.05455	0.006654	87.38	249.6	24.77
1.3	0.03379	0.00349	88.59	250.8	19.14
1.4	0.04653	-0.002838	90.48	250.2	8.634
1.5	0.02624	-0.01233	92.9	250	3.157
1.6	0.02105	-0.006003	94.16	250.8	-7.307
1.7	0.02057	-0.002838	97	249.6	-15.09
1.8	-0.004436	-0.002838	98.48	250.6	-20.98
1.9	-0.001133	0.009818	99.84	250	-30.26
2	-0.01246	-0.002838	101.3	249.6	-32.77
2.1	-0.02992	-0.009167	100.9	250.6	-36.86
2.2	-0.01812	0.0003257	101	250	-40.59
2.3	-0.03464	-0.002838	101	249.6	-38.65
2.4	-0.037	0.0003257	99.42	250.4	-39.12
2.5	-0.0219	0.0003257	99.84	249.1	-39.29
2.6	-0.03275	0.0003257	96.9	250.2	-28.98
2.7	-0.02048	-0.009167	94.32	250.6	-26.15
2.8	-0.008683	0.0003257	92.53	249.1	-17.8
2.9	-0.01812	0.0003257	89.16	250.6	-8.919
3	0.006889	0.0003257	86.32	249.6	-2.899
3.1	0.005946	-0.009167	84.22	249.6	7.874
3.2	0.01208	-0.006003	80.91	250.2	14.89
3.3	0.03237	0.0003257	79.54	249.1	22.33
3.4	0.02199	0.0003257	77.07	250.4	30.11
3.5	0.04747	-0.009167	75.7	249.6	33.08
3.6	0.03709	-0.002838	74.91	250.4	39.07
3.7	0.05219	0.00349	73.7	250.4	38.74
3.8	0.04983	-0.01866	74.17	249.6	41.01
3.9	0.047	0.0003257	73.17	250	39.4
4	0.05313	-0.006003	74.28	249.6	38.95
4.1	0.03851	0.0003257	75.17	250.6	31.13
4.2	0.04983	0.0003257	77.43	249.3	24.58
4.3	0.02718	0.0003257	78.43	250.4	18.18
4.4	0.03756	-0.006003	81.01	249.6	10
4.5	0.01586	0.006654	82.12	250.4	2.118
4.6	0.02105	0.00349	85.17	249.8	-6.45
4.7	0.001227	-0.009167	86.59	250.4	-14.85
4.8	0.000755	0.00349	89.38	249.6	-21.87
4.9	-0.01576	-0.006003	90.32	250.8	-28.99
5	-0.01906	-0.01233	92.58	249.6	-32.96
5.1	-0.02473	0.0003257	92.58	250.6	-38.41
5.2	-0.03983	0.006654	93.32	249.6	-38.08
5.3	-0.0285	0.0003257	92.74	249.8	-41.56
5.4	-0.0469	-0.009167	91.9	250	-38.34
5.5	-0.03275	-0.002838	92.16	249.6	-38.59
5.6	-0.0318	-0.002838	88.27	250.8	-30.93
5.7	-0.03605	-0.002838	86.96	250	-23.88
5.8	-0.01199	-0.002838	84.33	250	-18.26
5.9	-0.02048	-0.002838	81.06	250.4	-9.754
6	-0.007267	-0.006003	79.38	249.8	-0.5801
6.1	0.002642	-0.002838	76.7	249.8	7.806
6.2	0.001227	-0.006003	73.54	250.8	16.3
6.3	0.02718	0.0003257	72.07	249.6	22.13
6.4	0.02718	-0.002838	69.33	250.2	28.37
6.5	0.02765	0.0003257	68.75	250.4	35.53
6.6	0.04794	-0.002838	67.7	249.8	36.95
6.7	0.03615	-0.002838	66.49	250.6	40.36
6.8	0.04464	-0.009167	67.28	249.8	41.07
6.9	0.05266	-0.002838	66.86	249.6	38.18
7	0.03567	-0.002838	66.6	250.4	39.52
7.1	0.03992	0.0003257	69.23	249.6	31.67
7.2	0.04228	-0.006003	69.91	249.6	23.99
7.3	0.02246	0.00349	71.54	250.4	18.89
7.4	0.03001	-0.006003	74.07	249.8	10.32
7.5	0.01963	-0.002838	75.22	250.2	0.7669
7.6	0.000755	-0.002838	78.01	250.4	-5.172
7.7	0.008777	-0.009167	80.49	249.3	-14.89
7.8	-0.008211	0.00349	81.85	251	-22.8
